nombre_paciente,ciudad,nombres,apellidos,edad_paciente,genero,num_documento,telefono,correo_electronico,tipo_seguro,distrito,especialidad,prioridad,motivo,fecha_cita,hora_cita,turno_cita,estado_cita,nivel_riesgo,id_registro,pais,region,provincia,ubigeo,establecimiento_salud,tipo_establecimiento,id_paciente,genero_paciente,fecha_nacimiento,id_medico,nombre_medico,especialidad_medico,correo_medico,id_cita,codigo_cita,tipo_cita,programada_en,estado,sintoma,codigo_cie10,descripcion_cie10,canal,texto_voz,texto,intencion,codigo_ticket,ticket_confirmado,notificacion_email,notificacion_sms,num_inasistencias_previas,distancia_km,dias_para_cita,minutos_espera_estimados,puntaje_riesgo,objetivo_no_show,creado_en
Ronald Castro Ortiz,Alto Yurinaki,Ronald,Castro Ortiz,23,M,83197857,904025016,ronald.castro559@gmail.com,EsSalud,Perené,Dermatología,media,Lumbago crónico agudizado,2026-05-15,09:30,manana,cancelled,bajo,1,Peru,Junín,Chanchamayo,120303,Hospital de Satipo,Hospital II-1,1,M,2003-04-17,22,Dr. César Huamán Llanos,Dermatología,cesar.huamanllanos@hospitalpichanaki.gob.pe,1,PICHANAKI-CIT-000001,resultados,2026-05-15 09:30:00,cancelled,dolor de espalda,L40,Psoriasis,web,"Hola, por favor cancele mi cita porque tengo una emergencia familiar","Hola, por favor cancele mi cita porque tengo una emergencia familiar",cancelar_cita,PICHANAKI-TCK-748564,0,0,0,0,15.6,0,67,0.0,0,2026-05-28 00:50:46
Ronald Castro Ortiz,Puerto Bermúdez,Ronald,Castro Ortiz,23,M,83197857,904025016,ronald.castro559@gmail.com,EsSalud,Perené,Cardiología,baja,Ansiedad y ataques de pánico,2026-05-12,14:15,tarde,completed,bajo,2,Peru,Junín,Chanchamayo,120303,Hospital de Satipo,Hospital II-1,1,M,2003-04-17,11,Dra. Isabel Reyes Contreras,Cardiología,isabel.reyescontreras@hospitalpichanaki.gob.pe,2,PICHANAKI-CIT-000002,primera_vez,2026-05-12 14:15:00,completed,problemas emocionales,I50,Insuficiencia cardíaca,presencial,Necesito sacar una cita para control general,Necesito sacar una cita para control general,agendar_cita,PICHANAKI-TCK-817870,0,1,0,0,15.6,0,39,0.0,0,2026-05-08 00:50:46
Elías Untiveros Morales,Alto Pichanaqui,Elías,Untiveros Morales,28,M,63100814,986117574,elias.untiveros598@gmail.com,SIS,Pichanaki,Medicina General,alta,Control prenatal con ecografía,2026-07-01,11:00,manana,confirmed,bajo,3,Peru,Junín,Chanchamayo,120304,Centro de Salud Perené,Centro de Salud,2,M,1997-09-27,10,Dr. Luis Huamán Torres,Medicina General,luis.huamantorres@hospitalpichanaki.gob.pe,3,PICHANAKI-CIT-000003,control,2026-07-01 11:00:00,confirmed,control prenatal,D50,Anemia ferropénica,telefono,"Por favor ayuda urgente, un familiar tuvo un accidente","Por favor ayuda urgente, un familiar tuvo un accidente",emergencia,PICHANAKI-TCK-265840,1,1,0,0,5.0,29,23,25.0,0,2026-04-15 00:50:46
Wilfredo Zevallos Paredes,La Merced,Wilfredo,Zevallos Paredes,48,M,60185867,975750309,wilfredo.zevallos900@gmail.com,Sin seguro,Mazamari,Traumatología,media,Otitis media con supuración,2026-06-05,11:45,manana,rescheduled,alto,4,Peru,Junín,Chanchamayo,120702,Centro de Salud San Ramón,Centro de Salud,3,M,1978-03-28,32,Dr. Víctor López Sánchez,Traumatología,victor.lopezsanchez@hospitalpichanaki.gob.pe,4,PICHANAKI-CIT-000004,control,2026-06-05 11:45:00,rescheduled,dolor de oído,M54,Lumbago,voz_ia,"Buenos días, quisiera agendar una cita con el médico por favor","Buenos días, quisiera agendar una cita con el médico por favor",agendar_cita,PICHANAKI-TCK-642717,0,1,1,2,77.2,3,65,76.6,1,2026-05-19 00:50:46
Manuel Untiveros Zevallos,Chanchamayo,Manuel,Untiveros Zevallos,15,M,14216175,980262195,manuel.untiveros485@gmail.com,SIS,Perené,Odontología,media,Tos persistente desde hace dos semanas,2026-06-03,11:45,manana,pending,medio,5,Peru,Junín,Chanchamayo,120303,Hospital de Pichanaki,Hospital II-1,4,M,2011-05-03,30,Dra. Lidia Huertas López,Odontología,lidia.huertaslopez@hospitalpichanaki.gob.pe,5,PICHANAKI-CIT-000005,control,2026-06-03 11:45:00,pending,tos seca,K02,Caries dental,whatsapp,Quisiera saber qué doctores atienden hoy,Quisiera saber qué doctores atienden hoy,consultar_doctor,PICHANAKI-TCK-202664,0,1,0,0,18.1,1,27,0.0,0,2026-04-09 00:50:46
Nora Huertas Flores,Unión Ashaninka,Nora,Huertas Flores,65,F,32097220,939274499,nora.huertas570@gmail.com,EsSalud,Perené,Cardiología,baja,Dolor en la parte baja del abdomen,2026-05-23,11:00,manana,no_show,medio,6,Peru,Junín,Chanchamayo,120303,Hospital de Pichanaki,Hospital II-1,5,F,1961-05-19,48,Dr. Alberto Ramírez Chávez,Cardiología,alberto.ramirezchavez@hospitalpichanaki.gob.pe,6,PICHANAKI-CIT-000006,primera_vez,2026-05-23 11:00:00,no_show,dolor abdominal,I50,Insuficiencia cardíaca,whatsapp,"Buen día, cancéleme la cita por favor, ya no la necesito","Buen día, cancéleme la cita por favor, ya no la necesito",cancelar_cita,PICHANAKI-TCK-697347,0,1,0,0,13.8,0,19,4.7,0,2026-05-13 00:50:46
Elías Untiveros Morales,La Florida,Elías,Untiveros Morales,28,M,63100814,986117574,elias.untiveros598@gmail.com,SIS,Pichanaki,Odontología,baja,Caries dental para tratamiento,2026-06-30,17:00,tarde,pending,medio,7,Peru,Junín,Chanchamayo,120304,Centro de Salud Perené,Centro de Salud,2,M,1997-09-27,26,Dr. Joel Mamani Quispe,Odontología,joel.mamaniquispe@hospitalpichanaki.gob.pe,7,PICHANAKI-CIT-000007,control,2026-06-30 17:00:00,pending,problemas dentales,K02,Caries dental,web,"Hola, me podría agendar una cita para el dermatólogo tengo alergia en la piel","Hola, me podría agendar una cita para el dermatólogo tengo alergia en la piel",agendar_cita,PICHANAKI-TCK-265409,0,1,0,0,5.0,28,29,15.0,1,2026-04-11 00:50:46
Miguel Chávez Rodríguez,La Florida,Miguel,Chávez Rodríguez,67,M,30863865,926726249,miguel.chavez867@gmail.com,SIS,San Luis de Shuaro,Medicina General,baja,Pie diabético - control de úlcera,2026-07-30,17:00,tarde,cancelled,medio,8,Peru,Junín,Chanchamayo,120305,Hospital de Pichanaki,Hospital II-1,6,M,1958-09-09,11,Dr. Jorge Cárdenas Flores,Medicina General,jorge.cardenasflores@hospitalpichanaki.gob.pe,8,PICHANAKI-CIT-000008,primera_vez,2026-07-30 17:00:00,cancelled,diabetes,D50,Anemia ferropénica,web,"Buenos días, quiero consultar si mi cita está confirmada","Buenos días, quiero consultar si mi cita está confirmada",consultar_cita,PICHANAKI-TCK-934794,0,0,1,0,37.4,58,54,72.9,1,2026-04-28 00:50:46
Manuel Untiveros Zevallos,Pampa Tigre,Manuel,Untiveros Zevallos,15,M,14216175,980262195,manuel.untiveros485@gmail.com,SIS,Perené,Urología,baja,Reacción alérgica cutánea,2026-06-24,18:15,tarde,pending,bajo,9,Peru,Junín,Chanchamayo,120303,Hospital de Pichanaki,Hospital II-1,4,M,2011-05-03,11,Dr. Elmer Ramírez Tapia,Urología,elmer.ramireztapia@hospitalpichanaki.gob.pe,9,PICHANAKI-CIT-000009,control,2026-06-24 18:15:00,pending,alergias,N40,Hiperplasia prostática,presencial,"Necesito atención inmediata, estoy sangrando mucho","Necesito atención inmediata, estoy sangrando mucho",emergencia,PICHANAKI-TCK-582662,0,1,0,0,18.1,22,73,44.8,0,2026-05-21 00:50:46
Ana Tueros Ramos,Nueva Esperanza,Ana,Tueros Ramos,35,F,63643924,968308259,ana.tueros40@gmail.com,SIS,Perené,Psicología,alta,Visión borrosa progresiva,2026-07-10,18:15,tarde,confirmed,bajo,10,Peru,Junín,Chanchamayo,120303,Hospital de Pichanaki,Hospital II-1,7,F,1990-09-24,37,Dr. Efraín Cárdenas Vargas,Psicología,efrain.cardenasvargas@hospitalpichanaki.gob.pe,10,PICHANAKI-CIT-000010,primera_vez,2026-07-10 18:15:00,confirmed,problemas de visión,F32,Depresión mayor,whatsapp,Quiero revisar el horario de mi consulta por favor,Quiero revisar el horario de mi consulta por favor,consultar_cita,PICHANAKI-TCK-989208,1,1,0,0,24.6,38,19,32.9,0,2026-04-19 00:50:46
